Empresa,Modalidade de apoio
InCeres Desenvolvimento de Software e Processamento de Dados S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Confiance Gestão Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Forlidar Consultoria Agroflorestal Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Polizel Representações Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Acta Visio Desenvolvimento em Visão Computacional Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Eleve Science Pesquisa e Desenvolvimento Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Spectralgrid Inovações Tecnológicas e Sensoriamento Remoto Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Lei List Pesquisa e Serviços de Tecnologia Eireli - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
BD Benites Serviços Médicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Living Out Laboratório de Testes Celulares In Vitro Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Engendauer Serviços de Engenharia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Natcrom Soluções Sustentáveis Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Bioinfood Soluções em Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
ACMC Tecnologia e Serviços Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Hyciclool Sistemas Solares Híbridos Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Revbio - Serviços em Sanidade e Nutrição Vegetal Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Apiagri Desenvolvimento de Software Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
NTU Software Technology Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Extremus Smart Surface - Tratamentos de Superfície Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Agromic Pesquisas e Desenvolvimento Eireli,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Prudenciatti e Ribeiro Pesquisa e Desenvolvimento Ltda - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
SleepUp Tecnologia em Saúde Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Terpenia Desenvolvimento de Bioinsumos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Micro Tube Ferramentaria de Precisão e Comércio Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Glucogear Serviços em Tecnologia Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
OTOH LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Demed Tecnologia em Saúde Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Croppen Consultoria Agrícola Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Attenty Sistemas de Software Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Teia Educacional Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Plasmotech Soluções em Conservação de Alimentos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
QNITY INOVACAO E DESENVOLVIMENTO LTDA.,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Zeta Tecnologia e Inovação Inova Simples (IS),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Urbansea Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Anova Sistemas Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Vision Serviços Médicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Marzieh Kadivar,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ara Consultoria Eireli,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Triplet soluções em Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
FUTURE COW TECHNOLOGIES LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Entropic Solutions - Tecnologias a Partir de Biomassa Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ideelab Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Noleak Tecnologia da Informação Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Anáhata Soluções Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
R&R NovaBio Pesquisa e Desenvolvimento em Ciências Naturais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
ESTAT ANALYTICS SISTEMAS E SOLUCOES EM CIENCIA DE DADOS LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Kopp Pesquisa e Desenvolvimento Científico Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Selenolife Pesquisa em Selenio p/ Vida Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Altave Indústria, Comércio e Exportação de Aeronaves S/A",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Rubian Xtract Serviços Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
DEBORA ZANONI DO PRADO 38315605879,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Partecurae Pesquisa e Desenvolvimento Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Cellco Biotec do Brasil Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
TauFlow Engenharia,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Agririsk Soluções em Gerenciamento de Risco Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Prospecta - Pesquisa e Desenvolvimento de Bioinsumos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Uirá Consultoria Ambiental Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Browser Ninjas - Tecnologia da Informação Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Autaza Tecnologia S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Moradigna - Construções Assessoria Ltda - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Biocam Equipamento Médico Hospitalar Eireli - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Zasso Brasil Indústria e Comércio de Máquinas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Portal Telemedicina Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Brazilian Nano Feed Pesquisa e Desenvolvimento de Aditivos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Brats Indústria e Comércio de Produtos Metálicos Especiais Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Fluxofarma Pesquisa e Desenvolvimento Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
BIOINSUMOS BRASIL PESQUISA E COMERCIO DE BIOPRODUTOS LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
FindMe Tecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
SMARTMIP MANEJO INTEGRADO DE PRAGAS LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Cognitive Consultoria em Tecnologia da Informação e Marketing Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Arquigen Arquitetura Generativa Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Arthur Casulli de Oliveira,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Biodiversita Serviços de Apoio Agrícola Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Waker Inova Simples (IS),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Bio Controle Métodos de Controle de Pragas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
EDS Maker Comércio de Artigos Hospitalares - EIRELI,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
IONVET LABORATORIO CLINICO E PESQUISA LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nazaré & Petrônio Pesquisa e Desenvolvimento Experimental em Ciências Físicas e Naturais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
VIRTUAL CIRURGIA LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Sistemas e-Lean Desenvolvimento de Sistemas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Immunodot Indústria e Pesquisa de Produtos para Diagnóstico Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Magnitud Desenvolvimento de Talentos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Luis Henrique Guilherme,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ramon Adrian Salinas Franco,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Harpia Health Solutions Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Opto Tecnologia Optrônica Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Match It Serviços de Tecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Mario Cesar Souza e Silva,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nsports Conteúdo Esportivo S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
AIPER PESQUISA E DESENVOLVIMENTO DE BIOPRODUTOS SUSTENTAVEIS LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Metaura Prestação de Serviços de Pesquisa e Desenvolvimento Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Serenity Now Pesquisa e Desenvolvimento Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Fubá Educação Ambiental e Criatividade Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
V L Campo,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Koppert do Brasil Holding Ltda (Koppert),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
BVS GREEN LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
eFitFashion Tecnologia para Vestuário Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Stefanini Rafael Segurança e Defesa S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Genobiomas Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Time Energy Indústria e Comércio Eireli - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Souza P&D Farmacêutico Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
3DTime Soluções Tridimensionais Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Integra Soluções Sustentáveis Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ravoni - Inovar Consultoria Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
45.993.313 Inova Simples (IS),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
V L Campo,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
WADT CONSULTORIA FARMACEUTICA LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Mira Pesquisa e Desenvolvimento Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Alchemypet Medicina Diagnóstica e Veterinária Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Microondas Desenvolvimento e Tecnologias Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Salt Biotechnology Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Brats Indústria e Comércio de Produtos Metálicos Especiais Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Faz Verde Soluções Ambientais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
ZIMOTEC BIOPROCESSOS S/S,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
BLASTOCELL BIOTECHNOLOGIES LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Sigmed Equipamentos Eletrônicos Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Liconic Soluções Tecnológicas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Bioclivea Cosméticos e Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Inovia Pesquisa Aplicada e Desenvolvimento em Inteligência Artificial Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Soluções em Biotecnologia 3D - Engenharia Tecidual Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Autaza Tecnologia S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nazaré & Petrônio Pesquisa e Desenvolvimento Experimental em Ciências Físicas e Naturais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nota 1000 Serviços Educacionais Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Pullup Soluções Sistemas Eletrônicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Estatera Pesquisa e Soluções em Tecnologia da Informação Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"OMNI Eletrônica, Engenharia e Comércio Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ravenna Indústria e Comércio de Cosméticos Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Alba Sensors and Diagnostics Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Paula Decot Galgano,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Agririsk Soluções em Gerenciamento de Risco Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
FUTAGO TECNOLOGIA LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Spectrum Line Prestações de Serviços Eletro-Eletrônicos Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Pleiades Sistemas de Comunicações Óptico Digitais Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
DMA Indústria e Tecnologia Eireli - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
OMIKKA LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
PHC Godoi Biotecnologia,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Biobreyer Pesquisa e Desenvolvimento Científico Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
"Fit Comércio, Importação e Exportação de Máquinas e Equipamentos Odonto-Médicos Hospitalares e Laboratoriais Ltda",Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Oncodata Soluções Tecnológicas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Teiu Pesquisa e Desenvolvimento em Energia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Nupedido Soluções Digitais Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Protech Pesquisa e Desenvolvimento Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dermbio Biotech Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
HOPS BRASIL CULTIVO E COMERCIO DE LUPULO LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Paula Speranza Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Clyons Pesquisa e Desenvolvimento em Biotecnologia Inova Simples (IS),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Seip7 Indústria e Comércio de Máquinas Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
MLA Suprimentos Médicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ideelab Biotecnologia Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Data Machina Inteligência em Análise de Dados Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
CICLOU COMERCIO E SERVICOS DE DESIGN LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Biotechno Science Farmacêutica,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Deep Brasil Informação e Tecnologia S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Automni Automações Industriais Ltda. - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Aromatici Comércio de Produtos Manipulados Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Entropic Solutions - Tecnologias a Partir de Biomassa Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
EAPPROACHS SOLUCOES TECNOLOGICAS LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
iVitrinas Serviços Digitais e Empreendedorismo Feminino Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
GLASSGLASS TECHNOLOGIES LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
SAFE AND OPTIMIZED STANDARDS ASSESSORIA TECNICA E DIAGNOSTICOS LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Dallas Autonomus Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
ITC Consultoria em Engenharia Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
MORAES E DE GROOTE CENTRO DE IA E VISAO COMPUTACIONAL LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Time Energy Indústria e Comércio Eireli - EPP,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Selaz Indústria e Comércio de Aparelhos Biomecânicos Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
L A PHARMATEC PESQUISA E DESENVOLVIMENTO LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Innovatech Telecom Indústria e Comércio de Equipamentos Eletrônicos e de Telecomunicações Ltda (Innovatech),Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
GALS TECNOLOGIA LTDA,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Paula Speranza Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Digo Maker do Brasil Indústria de Software Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Diasci Diagnóstico Científico e Soluções Tecnológicas Avançadas Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
NEP Núcleo de Consultoria em Engenharia e Pesquisas em Tecnologia,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Ecotrace Tecnologia da Informação S/A,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Geotecno Indústria e Comércio de Sistemas e Processos Automatizados Ltda. - ME,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
Cyberphysics Company Tecnologia em Atividade Física Ltda. - Me,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
DMN Justino Ltda,Auxílio à Pesquisa - Pesquisa Inovativa em Pequenas Empresas - PIPE
